Test,Mean,Deviation,Count
ScaleVector2D,86.9579458236694,3.92584370456104,4194304
ScaleVector3D,85.8927011489868,4.41208309885894,4194304
MultiplyVector2D,82.7745389938354,5.45060664088525,4194304
MultiplyVector3D,100.422391891479,7.63906491994783,4194304
TranslateVector2D,53.2965230941772,4.12215204396331,8388608
TranslateVector3D,52.9635143280029,1.2457698581456,8388608
SubstractVector2D,98.4600353240967,3.5078706670457,4194304
SubstractVector3D,115.335578918457,5.69028709330312,4194304
LengthVector2D,49.3762850761414,2.82062678229951,8388608
LengthVector3D,46.3950204849243,2.31910518274387,8388608
Dotproduct2D,47.2913312911987,1.73465123331814,8388608
Dotproduct3D,52.453281879425,2.99777375115569,8388608
MemTest,815155.2734375,24285.3688650416,512
Prime,3955.85266113281,190.773375933135,131072
Sestoft,43.1332945823669,2.62862460303365,8388608
