Test,Mean,Deviation,Count
Scale2D,922.221222,55.748601,262144
Scale3D,1001.464462,66.580438,524288
Multiply2D,909.602394,35.261150,524288
Multiply3D,1160.358429,31.668891,262144
Translate2D,890.707550,24.945964,524288
Translate3D,1173.044052,33.446387,262144
Substract2D,1024.944992,39.373970,524288
Substract3D,1294.719315,57.511081,262144
Length2D,570.471954,30.417744,524288
Length3D,676.607056,17.366838,524288
DotProduct2D,900.705032,40.312240,524288
DotProduct3D,1191.672745,60.394359,262144
Primes100,51060.351563,3279.117240,8192
Memory,64547.504883,3950.864536,8192
Sestoft,129.177570,4.892213,2097152
