Test,Mean,Deviation,Count
ScaleVector2D,6.74297690391541,0.554590109232913,67108864
ScaleVector3D,4.09679740667343,0.0192401105347972,67108864
MultiplyVector2D,5.57139873504639,0.0335489124052782,67108864
MultiplyVector3D,4.13297355175018,0.120319619604873,67108864
TranslateVector2D,19.3253970146179,0.970706538835568,16777216
TranslateVector3D,20.2257192134857,2.20104841382778,16777216
SubstractVector2D,5.4394069314003,0.0250586885781025,67108864
SubstractVector3D,5.56560277938843,0.117932946986031,67108864
LengthVector2D,4.11579251289368,0.083320765912083,67108864
LengthVector3D,3.92865598201752,0.291874084444062,67108864
Dotproduct2D,4.28202211856842,0.32066265052262,67108864
Dotproduct3D,3.83350312709808,0.169296024384009,67108864
MemTest,54322.2021484375,889.121935278841,8192
Prime,1126.65489196777,7.08406474551612,262144
Sestoft,9.16659712791443,0.251966725967979,33554432
