Test,Message,Mean,Deviation,Count
ScaleVector2D                 	49.1497659683228ns	0.101497048040786ns		8388608
ScaleVector3D                 	44.833459854126ns	0.400757877676189ns		8388608
MultiplyVector2D              	32.5895023345947ns	0.883967196654668ns		8388608
MultiplyVector3D              	35.7360076904297ns	1.21054444229593ns		8388608
TranslateVector2D             	57.6794910430908ns	0.0735553024202082ns		8388608
TranslateVector3D             	54.1124033927917ns	0.281020597246753ns		8388608
SubstractVector2D             	57.4738717079163ns	0.151202121701202ns		8388608
SubstractVector3D             	53.813316822052ns	0.135849633674511ns		8388608
LengthVector2D                	55.3079104423523ns	0.0925253118024125ns		8388608
LengthVector3D                	59.1113710403442ns	0.101604933336594ns		8388608
Dotproduct2D                  	45.7485771179199ns	0.121352224161406ns		8388608
Dotproduct3D                  	48.7794280052185ns	0.162616311345552ns		8388608
MemTest                       	1270513.59375ns	12701.7905869794ns		256
Prime                         	6968.98010253906ns	276.614642271533ns		65536
Sestoft                       	41.8565678596497ns	0.272339501836132ns		8388608
SestoftPow                    	101.565542221069ns	0.304321868844433ns		4194304
