Test,Message,Mean,Deviation,Count
ScaleVector2D                 	49.2768788337708ns	0.136331920222893ns		8388608
ScaleVector3D                 	44.4639778137207ns	0.129342352023914ns		8388608
MultiplyVector2D              	31.2408351898193ns	0.578679073649007ns		8388608
MultiplyVector3D              	34.1042494773865ns	0.104753792666427ns		8388608
TranslateVector2D             	57.501745223999ns	0.157997119368587ns		8388608
TranslateVector3D             	54.179630279541ns	0.457088386843942ns		8388608
SubstractVector2D             	57.3701477050781ns	0.140327578474149ns		8388608
SubstractVector3D             	53.7180185317993ns	0.0978678591507143ns		8388608
LengthVector2D                	55.5826020240784ns	0.97201461476624ns		8388608
LengthVector3D                	59.0334534645081ns	0.188967007045941ns		8388608
Dotproduct2D                  	45.5672526359558ns	0.12412885767581ns		8388608
Dotproduct3D                  	49.0595149993896ns	0.337979076141997ns		8388608
MemTest                       	250185.5078125ns	3065.17691927611ns		1024
Prime                         	5348.05328369141ns	43.0666147630103ns		65536
Sestoft                       	41.974561214447ns	0.122544413380188ns		8388608
SestoftPow                    	101.570992469788ns	0.287982932923716ns		4194304
