Test,Mean,Deviation,Count
Scale2D,1157.680054,23.350577,262144
Scale3D,1156.498947,2.175950,262144
Multiply2D,2130.445862,12.781734,131072
Multiply3D,2173.554993,10.101167,131072
Translate2D,1100.215607,28.875229,262144
Translate3D,1111.334915,1.245519,262144
Substract2D,2189.261780,2.712738,131072
Substract3D,2250.258179,3.877892,131072
Length2D,1079.586258,3.536347,262144
Length3D,1096.700592,11.930465,262144
DotProduct2D,2270.132904,22.786216,131072
DotProduct3D,2388.150330,30.272484,131072
Primes100,24914.665527,283.074323,16384
Memory,55140.603027,214.730142,8192
Sestoft,78.694530,0.434243,4194304
