Test,Mean,Deviation,Count
Scale2D,78.630505,0.472926,4194304
Scale3D,79.298434,0.187200,4194304
Multiply2D,153.303452,0.305351,2097152
Multiply3D,154.841766,0.428349,2097152
Translate2D,77.743173,0.307095,4194304
Translate3D,78.247614,2.319651,4194304
Substract2D,153.196812,0.688095,2097152
Substract3D,161.352253,9.116500,2097152
Length2D,78.533316,1.682173,4194304
Length3D,78.056669,0.069424,4194304
DotProduct2D,159.312868,0.386226,2097152
DotProduct3D,159.725313,2.459966,2097152
Primes100,1676.538773,41.767084,262144
Memory,27586.690674,449.682740,16384
Sestoft,12.865073,0.010011,33554432
