Test,Mean,Deviation,Count
MapReduce Foreach,3164.587,15.363,131072
MapReduce Foreach,3193.387,64.181,131072
MapReduce Foreach,3351.121,420.595,131072
MapReduce Foreach,3165.949,15.650,131072
MapReduce Foreach,3167.574,19.044,131072
MapReduce Linq,4120.558,95.981,65536
MapReduce Linq,4114.522,92.308,65536
MapReduce Linq,4120.561,54.382,65536
MapReduce Linq,4087.197,79.096,65536
MapReduce Linq,4059.504,64.340,65536
MapReduce Struct,325.775,2.066,1048576
MapReduce Struct,331.116,18.997,1048576
MapReduce Struct,323.903,0.793,1048576
MapReduce Struct,323.678,1.439,1048576
MapReduce Struct,323.873,1.254,1048576
Sestoft Multiply,55.425,0.321,8388608
Sestoft Multiply,55.429,0.265,8388608
Sestoft Multiply,55.640,0.420,8388608
Sestoft Multiply,55.689,0.559,8388608
Sestoft Multiply,55.829,0.434,8388608
Primes,10132.123,131.699,32768
Primes,10101.887,104.354,32768
Primes,10150.407,121.193,32768
Primes,10132.115,110.725,32768
Primes,10095.747,93.919,32768
RandomizeArray,6575.880,58.540,65536
RandomizeArray,6591.145,44.984,65536
RandomizeArray,6966.116,594.971,32768
RandomizeArray,6618.575,52.626,65536
RandomizeArray,6615.596,51.122,65536
GameOfLife,222240.146,1843.336,2048
GameOfLife,223319.629,4174.320,2048
GameOfLife,223711.621,2596.205,2048
GameOfLife,224389.980,7229.533,2048
GameOfLife,235318.037,18242.984,2048
InvasionPercolation,86571.396,1111.207,4096
InvasionPercolation,88230.620,1970.792,4096
InvasionPercolation,87839.595,1257.445,4096
InvasionPercolation,88816.143,790.545,4096
InvasionPercolation,87501.250,617.089,4096
FibonacciRecursive,2394.282,22.328,131072
FibonacciRecursive,2382.123,4.270,131072
FibonacciRecursive,2397.332,23.216,131072
FibonacciRecursive,2549.806,249.258,131072
FibonacciRecursive,2397.312,11.575,131072
FibonacciIterative,994.318,3.173,262144
FibonacciIterative,994.304,1.707,262144
FibonacciIterative,1001.149,3.380,262144
FibonacciIterative,1012.602,23.487,262144
FibonacciIterative,999.562,8.774,262144
ScaleVector2D,100.554,0.477,4194304
ScaleVector2D,101.222,1.611,4194304
ScaleVector2D,102.127,4.736,4194304
ScaleVector2D,100.269,0.595,4194304
ScaleVector2D,99.888,0.107,4194304
ScaleVector3D,97.363,0.869,4194304
ScaleVector3D,96.696,0.105,4194304
ScaleVector3D,96.935,0.356,4194304
ScaleVector3D,97.456,0.787,4194304
ScaleVector3D,97.028,0.422,4194304
MultiplyVector2D,84.877,1.243,4194304
MultiplyVector2D,84.304,0.199,4194304
MultiplyVector2D,84.732,0.436,4194304
MultiplyVector2D,84.590,0.679,4194304
MultiplyVector2D,85.212,0.721,4194304
MultiplyVector3D,88.164,0.505,4194304
MultiplyVector3D,88.934,2.548,4194304
MultiplyVector3D,87.544,0.622,4194304
MultiplyVector3D,92.978,8.790,4194304
MultiplyVector3D,87.783,0.817,4194304
TranslateVector2D,109.037,0.934,4194304
TranslateVector2D,108.465,0.815,4194304
TranslateVector2D,108.505,0.391,4194304
TranslateVector2D,108.751,0.687,4194304
TranslateVector2D,112.135,6.999,4194304
TranslateVector3D,115.199,7.823,4194304
TranslateVector3D,108.418,0.172,4194304
TranslateVector3D,108.421,0.418,4194304
TranslateVector3D,108.515,0.268,4194304
TranslateVector3D,108.704,0.514,4194304
SubtractVector2D,109.201,2.405,4194304
SubtractVector2D,108.049,0.449,4194304
SubtractVector2D,107.942,0.695,4194304
SubtractVector2D,108.227,0.831,4194304
SubtractVector2D,108.656,0.773,4194304
SubtractVector3D,107.656,0.314,4194304
SubtractVector3D,108.228,0.740,4194304
SubtractVector3D,107.656,0.199,4194304
SubtractVector3D,107.799,0.463,4194304
SubtractVector3D,108.180,0.692,4194304
LengthVector2D,56.497,0.099,8388608
LengthVector2D,56.783,0.481,8388608
LengthVector2D,56.592,0.120,8388608
LengthVector2D,57.260,1.566,8388608
LengthVector2D,56.520,0.234,8388608
LengthVector3D,58.165,0.272,8388608
LengthVector3D,58.307,0.525,8388608
LengthVector3D,58.065,0.220,8388608
LengthVector3D,58.212,0.247,8388608
LengthVector3D,58.363,0.375,8388608
DotProductVector2D,57.098,0.488,8388608
DotProductVector2D,56.902,0.216,8388608
DotProductVector2D,56.949,0.279,8388608
DotProductVector2D,59.690,3.922,8388608
DotProductVector2D,57.164,0.284,8388608
DotProductVector3D,61.381,0.549,4194304
DotProductVector3D,62.286,2.226,4194304
DotProductVector3D,61.620,0.322,4194304
DotProductVector3D,61.956,0.530,4194304
DotProductVector3D,61.382,0.211,4194304
