Test,Mean,Deviation,Count
MapReduce Foreach,1018.475,6.841,262144
MapReduce Foreach,1011.843,5.119,262144
MapReduce Foreach,1018.703,11.604,262144
MapReduce Foreach,1030.809,28.152,262144
MapReduce Foreach,1021.479,8.234,262144
MapReduce Linq,1698.881,29.945,262144
MapReduce Linq,1710.208,39.441,262144
MapReduce Linq,1691.499,42.582,262144
MapReduce Linq,1731.838,107.427,262144
MapReduce Linq,1717.520,22.710,262144
MapReduce Struct,171.425,1.832,2097152
MapReduce Struct,171.935,1.125,2097152
MapReduce Struct,172.826,1.312,2097152
MapReduce Struct,171.752,0.865,2097152
MapReduce Struct,171.851,0.254,2097152
Sestoft Multiply,48.464,0.275,8388608
Sestoft Multiply,50.564,3.205,8388608
Sestoft Multiply,48.538,0.322,8388608
Sestoft Multiply,48.300,0.451,8388608
Sestoft Multiply,48.252,0.169,8388608
Primes,3684.169,104.678,131072
Primes,3742.526,106.047,131072
Primes,3742.986,93.652,65536
Primes,3895.292,326.877,131072
Primes,3755.088,170.541,131072
RandomizeArray,3201.197,90.282,131072
RandomizeArray,3348.754,27.720,131072
RandomizeArray,3275.138,97.445,131072
RandomizeArray,3324.304,32.371,131072
RandomizeArray,3332.205,53.620,131072
GameOfLife,126828.970,10026.121,4096
GameOfLife,121061.392,618.655,4096
GameOfLife,121759.248,820.012,2048
GameOfLife,122630.596,936.892,2048
GameOfLife,122401.445,559.289,2048
InvasionPercolation,57051.060,531.019,8192
InvasionPercolation,56995.862,705.310,8192
InvasionPercolation,56945.400,714.778,8192
InvasionPercolation,61647.793,5810.038,4096
InvasionPercolation,56659.260,917.260,8192
FibonacciRecursive,665.275,3.290,524288
FibonacciRecursive,664.132,2.193,524288
FibonacciRecursive,666.046,5.157,524288
FibonacciRecursive,669.477,4.935,524288
FibonacciRecursive,664.513,3.724,524288
FibonacciIterative,88.346,0.546,4194304
FibonacciIterative,88.594,0.686,4194304
FibonacciIterative,87.832,0.362,4194304
FibonacciIterative,87.441,0.726,4194304
FibonacciIterative,87.864,0.392,4194304
ScaleVector2D,72.377,0.611,4194304
ScaleVector2D,72.509,0.425,4194304
ScaleVector2D,72.449,0.439,4194304
ScaleVector2D,72.342,0.463,4194304
ScaleVector2D,72.103,0.729,4194304
ScaleVector3D,68.578,0.309,4194304
ScaleVector3D,68.863,0.843,4194304
ScaleVector3D,68.724,0.273,4194304
ScaleVector3D,68.864,0.556,4194304
ScaleVector3D,68.742,0.644,4194304
MultiplyVector2D,61.167,0.192,4194304
MultiplyVector2D,61.385,0.524,4194304
MultiplyVector2D,61.554,0.687,4194304
MultiplyVector2D,61.478,0.532,4194304
MultiplyVector2D,61.286,0.430,4194304
MultiplyVector3D,63.240,0.362,4194304
MultiplyVector3D,63.584,0.519,4194304
MultiplyVector3D,68.628,8.353,4194304
MultiplyVector3D,63.334,0.199,4194304
MultiplyVector3D,62.954,0.200,4194304
TranslateVector2D,76.822,0.398,4194304
TranslateVector2D,77.299,0.689,4194304
TranslateVector2D,77.362,0.710,4194304
TranslateVector2D,77.026,0.274,4194304
TranslateVector2D,77.316,0.505,4194304
TranslateVector3D,74.565,0.064,4194304
TranslateVector3D,74.868,0.701,4194304
TranslateVector3D,77.157,4.970,4194304
TranslateVector3D,75.106,0.641,4194304
TranslateVector3D,75.611,1.419,4194304
SubtractVector2D,80.540,0.922,4194304
SubtractVector2D,80.301,0.375,4194304
SubtractVector2D,80.778,0.378,4194304
SubtractVector2D,80.650,0.771,4194304
SubtractVector2D,80.491,0.636,4194304
SubtractVector3D,80.620,0.440,4194304
SubtractVector3D,85.346,6.510,4194304
SubtractVector3D,80.443,0.264,4194304
SubtractVector3D,80.688,0.669,4194304
SubtractVector3D,80.684,0.431,4194304
LengthVector2D,44.440,0.289,8388608
LengthVector2D,44.511,0.105,8388608
LengthVector2D,44.583,0.052,8388608
LengthVector2D,44.606,0.400,8388608
LengthVector2D,45.011,1.160,8388608
LengthVector3D,47.155,0.308,8388608
LengthVector3D,47.061,0.366,8388608
LengthVector3D,47.228,0.136,8388608
LengthVector3D,47.394,0.433,8388608
LengthVector3D,47.251,0.246,8388608
DotProductVector2D,38.621,0.120,8388608
DotProductVector2D,38.625,0.098,8388608
DotProductVector2D,38.720,0.237,8388608
DotProductVector2D,38.780,0.469,8388608
DotProductVector2D,38.621,0.066,8388608
DotProductVector3D,42.393,0.050,8388608
DotProductVector3D,42.622,0.527,8388608
DotProductVector3D,42.487,0.231,8388608
DotProductVector3D,42.587,0.524,8388608
DotProductVector3D,42.367,0.320,8388608
