Test,Mean,Deviation,Count
Sestoft Multiply,55.385,0.057,8388608
Primes,9687.292,156.091,32768
RandomizeArray,6091.518,154.748,65536
GameOfLife,170242.061,3431.562,2048
InvasionPercolation,70268.750,1793.953,4096
FibonacciRecursive,2396.871,12.600,131072
FibonacciIterative,1011.411,12.633,262144
ScaleVector2D,120.488,0.792,2097152
ScaleVector3D,137.083,6.937,2097152
MultiplyVector2D,116.428,1.460,4194304
MultiplyVector3D,123.144,1.243,2097152
TranslateVector2D,116.912,2.136,4194304
TranslateVector3D,124.291,4.074,2097152
SubtractVector2D,115.166,1.045,4194304
SubtractVector3D,114.554,0.518,4194304
LengthVector2D,63.765,0.697,4194304
LengthVector3D,72.054,7.232,4194304
DotProductVector2D,69.061,0.313,4194304
DotProductVector3D,75.604,0.670,4194304
